Timestamp;Fleet;Player name;Rank;Last Login Date;Trophies;Max Trophies;Stars;Join Date;Crew Donated;Crew Borrowed;Logged in ago;Joined ago;Division;Player ID;Fleet ID;PvP wins;PvP losses;PvP draws;Defense wins;Defense losses;Defense draws
2024-02-24 23:59:00;RADIANCE;Giallar;FleetAdmiral;2024-02-24 21:01:11;6894;8056;56;2024-02-14 16:20:39;70;189;2h 57m 49s;1w 3d 7h 38m 21s;A;3145262;44522;31154;2851;449;3080;6174;113
2024-02-24 23:59:00;Trek Federation;Wraithbourne;FleetAdmiral;2024-02-24 23:22:03;6475;8046;52;2023-04-03 18:47:40;3196;4208;36m 57s;46w 5d 5h 11m 20s;A;7769078;9343;10527;1116;36;3271;3036;26
2024-02-24 23:59:00;Summit;Tạiiiiiii;FleetAdmiral;2024-02-24 17:56:34;6725;8544;50;2023-03-15 06:42:26;2188;3962;6h 2m 26s;49w 3d 17h 16m 34s;A;1396838;43776;41113;3597;372;2501;8059;182
2024-02-24 23:59:00;Trek Pastafarians;Charles XII;FleetAdmiral;2024-02-24 21:44:06;4930;6501;49;2024-01-01 13:53:27;477;609;2h 14m 54s;7w 5d 10h 5m 33s;B;4417364;12008;12944;2546;92;1459;4778;38
2024-02-24 23:59:00;TheNobody;Lord Tachanka;FleetAdmiral;2024-02-24 23:18:32;5000;5175;48;2021-11-12 20:34:55;921;979;40m 28s;119w 1d 3h 24m 5s;C;6405462;43461;7999;674;39;351;1630;22
2024-02-24 23:59:00;CITADЕL;Aniоr;FleetAdmiral;2024-02-24 13:37:44;4980;5058;48;2021-11-11 20:14:31;10346;2134;10h 21m 16s;119w 2d 3h 44m 29s;B;5081036;43801;10370;906;23;699;5733;112
2024-02-24 23:59:00;VN StarConqueror;UY SCUTI 404;FleetAdmiral;2024-02-24 21:00:08;4893;5575;46;2024-02-14 17:50:38;67;12;2h 58m 52s;1w 3d 6h 8m 22s;B;5877277;44794;10892;819;75;465;3623;45
2024-02-24 23:59:00;Italian pixels;Lucapitan;FleetAdmiral;2024-02-24 22:50:39;5000;5049;44;2021-12-12 21:13:00;9354;4323;1h 8m 21s;114w 6d 2h 46m 0s;C;8738742;43836;8620;819;120;252;967;51
2024-02-24 23:59:00;TheHighClass THC;Schlexi;FleetAdmiral;2024-02-24 23:20:55;4826;5158;44;2023-05-21 21:05:55;3607;6173;38m 5s;39w 6d 2h 53m 5s;C;9777335;44552;9409;1913;90;355;1346;11
2024-02-24 23:59:00;Trek Trainer;TheEdgeTransit;FleetAdmiral;2024-02-24 23:17:07;4908;5088;42;2024-01-03 12:55:54;203;0;41m 53s;7w 3d 11h 3m 6s;D;9383386;12789;3536;305;47;230;537;9
2024-02-24 23:59:00;Trek Prodigy;Jeanne Levine;FleetAdmiral;2024-02-24 18:34:41;4960;5070;40;2023-07-01 09:32:32;3504;3925;5h 24m 19s;34w 0d 14h 26m 28s;C;7584705;9130;7263;574;75;558;1988;47
2024-02-24 23:59:00;Soltan Empire;Starship Soltan;FleetAdmiral;2024-02-24 20:29:40;4934;5049;40;2023-08-01 12:05:29;1479;1350;3h 29m 20s;29w 4d 11h 53m 31s;C;10307165;44572;9544;1012;40;227;614;6
2024-02-24 23:59:00;Veritas Vikings;Daedus;FleetAdmiral;2024-02-24 22:58:23;6142;6639;39;2022-03-05 04:14:13;15403;10917;1h 0m 37s;103w 0d 19h 44m 47s;A;1600654;30723;19269;2611;213;2712;8648;170
2024-02-24 23:59:00;Dynasty Mutiny;Cap4686;FleetAdmiral;2024-02-24 23:24:58;4605;4638;39;2023-09-01 17:46:12;2080;967;34m 2s;25w 1d 6h 12m 48s;C;10125381;44353;4098;511;61;153;465;13
2024-02-24 23:59:00;Εlysium;Dacian Starraker;FleetAdmiral;2024-02-24 22:37:29;4914;5027;38;2023-12-01 15:12:37;891;0;1h 21m 31s;12w 1d 8h 46m 23s;B;9638321;44228;2680;411;109;102;369;32
2024-02-24 23:59:00;ну здорово отец;-Zorg-;FleetAdmiral;2024-02-24 23:24:02;5637;5969;36;2023-02-13 20:29:01;4489;2879;34m 58s;53w 5d 3h 29m 59s;C;9798605;44294;13199;1112;59;581;1228;15
2024-02-24 23:59:00;Дети Луны;Varulven;FleetAdmiral;2024-02-24 20:29:26;5066;5291;36;2021-10-16 21:25:51;2811;2584;3h 29m 34s;123w 0d 2h 33m 9s;C;6721104;43757;6730;1601;174;489;1421;30
2024-02-24 23:59:00;WОRD BEARERS;self0Rgod;FleetAdmiral;2024-02-24 12:08:40;4971;6034;36;2019-10-25 00:19:31;5905;3234;11h 50m 20s;226w 1d 23h 39m 29s;B;3965404;43488;15419;2155;238;1488;6494;104
2024-02-24 23:59:00;Sunny Ship;거친머리;FleetAdmiral;2024-02-24 17:07:08;4944;5005;35;2023-10-16 17:59:27;1800;625;6h 51m 52s;18w 5d 5h 59m 33s;D;10677004;44791;8675;1321;122;37;249;10
2024-02-24 23:59:00;HKG 自由惑星騎士団;DDS50;FleetAdmiral;2024-02-24 16:45:41;4980;5206;33;2019-01-31 12:52:20;15187;11740;7h 13m 19s;264w 2d 11h 6m 40s;D;3458000;18112;19143;885;139;492;4366;62
2024-02-24 23:59:00;Dynasty Savages;Anna Gannon;FleetAdmiral;2024-02-24 22:37:34;2988;4449;32;2023-07-11 00:29:09;2051;1328;1h 21m 26s;32w 4d 23h 29m 51s;D;10415387;44514;3612;703;9;317;805;2
2024-02-24 23:59:00;SPARTA!;__DJ__;FleetAdmiral;2024-02-24 20:31:54;4322;4326;30;2023-04-06 20:07:23;735;19;3h 27m 6s;46w 2d 3h 51m 37s;C;8718595;43851;1114;157;3;155;479;5
2024-02-24 23:59:00;Dynasty Exiles;Reaper Rose YT;FleetAdmiral;2024-02-24 20:25:56;3798;4170;30;2024-02-05 19:07:37;73;0;3h 33m 4s;2w 5d 4h 51m 23s;D;10354072;44964;2530;330;13;50;233;0
2024-02-24 23:59:00;Die Nasty;Drondarok;FleetAdmiral;2024-02-24 22:49:42;4789;5000;29;2023-11-16 00:03:45;571;618;1h 9m 18s;14w 2d 23h 55m 15s;B;10802876;44208;1024;190;6;16;99;0
